nap,mintak,q_be,q_ki,paks_cm,paks_q,paks_c,csapadek_mm,parolgas_mm,csapadek_datum,parolgas_datum
2026-08-04,1,1110.0,-1056.0,-127.0,771.2,28.0,,,2026-08-20,2026-08-20
2026-08-05,15,1004.2,-1047.5,-133.2,749.9,29.2,,,2026-08-20,2026-08-20
2026-08-06,20,965.6,-1040.5,-130.0,761.4,29.0,,,2026-08-20,2026-08-20
2026-08-07,16,1033.9,-1051.8,-126.6,773.4,28.9,,,2026-08-20,2026-08-20
2026-08-08,36,1115.9,-1056.9,-127.1,770.7,27.9,,,2026-08-20,2026-08-20
2026-08-09,26,1102.8,-1062.3,-127.5,770.9,27.6,,,2026-08-20,2026-08-20
2026-08-10,16,1037.8,-1109.3,-117.6,812.2,27.7,,,2026-08-20,2026-08-20
2026-08-11,17,1049.8,-1101.4,-108.1,846.4,27.8,,,2026-08-20,2026-08-20
2026-08-12,16,1047.0,-1103.0,-112.0,826.0,27.0,,,2026-08-20,2026-08-20
2026-08-13,19,1050.0,-1101.0,-119.0,797.2,26.6,,,2026-08-20,2026-08-20
2026-08-14,17,1049.8,-1101.1,-121.4,788.5,26.4,,,2026-08-20,2026-08-20
2026-08-15,23,1050.0,-1101.0,-122.4,783.4,26.4,,,2026-08-20,2026-08-20
2026-08-16,26,1050.0,-1101.0,-124.3,774.8,26.4,,,2026-08-20,2026-08-20
2026-08-17,29,1050.0,-1101.0,-128.4,758.5,26.4,,,2026-08-20,2026-08-20
2026-08-18,30,1045.6,-1098.4,-129.6,752.8,25.6,,,2026-08-20,2026-08-20
2026-08-19,29,1047.2,-1098.9,-129.3,751.5,25.3,,,2026-08-20,2026-08-20
2026-08-20,2,1046.5,-1098.5,-130.0,748.5,26.3,0.63,1.35,2026-08-20,2026-08-20
2026-08-21,4,1046.0,-1098.0,-120.2,792.6,25.8,,,2026-08-20,2026-08-20
2026-08-22,2,1046.0,-1098.0,-118.0,802.2,25.4,,,2026-08-20,2026-08-20
